rate,label,variant,predicted,windows,correct_windows,pass_us,wav
44100,0,0,0,41,41,481.625,44100-0-0.wav
44100,0,1,0,41,41,483.5,44100-0-1.wav
44100,0,2,0,41,41,515.875,44100-0-2.wav
44100,0,3,0,41,41,531.584,44100-0-3.wav
44100,0,4,0,41,41,501.417,44100-0-4.wav
44100,1,0,1,43,43,369.208,44100-1-0.wav
44100,1,1,1,43,43,390.166,44100-1-1.wav
44100,1,2,1,43,43,376.708,44100-1-2.wav
44100,1,3,1,43,43,408.5,44100-1-3.wav
44100,1,4,1,43,43,385.209,44100-1-4.wav
44100,2,0,2,43,43,383.875,44100-2-0.wav
44100,2,1,2,43,43,388.792,44100-2-1.wav
44100,2,2,2,43,43,351.125,44100-2-2.wav
44100,2,3,2,43,43,344.625,44100-2-3.wav
44100,2,4,2,43,43,356.125,44100-2-4.wav
48000,0,0,0,45,45,536.625,48000-0-0.wav
48000,0,1,0,45,45,524.417,48000-0-1.wav
48000,0,2,0,45,45,546.959,48000-0-2.wav
48000,0,3,0,45,45,545.042,48000-0-3.wav
48000,0,4,0,45,45,559.167,48000-0-4.wav
48000,1,0,1,46,46,417.208,48000-1-0.wav
48000,1,1,1,46,46,425.416,48000-1-1.wav
48000,1,2,1,46,46,426.333,48000-1-2.wav
48000,1,3,1,46,46,427.208,48000-1-3.wav
48000,1,4,1,46,46,429.583,48000-1-4.wav
48000,2,0,2,46,46,400.458,48000-2-0.wav
48000,2,1,2,46,46,411.792,48000-2-1.wav
48000,2,2,2,46,46,404.25,48000-2-2.wav
48000,2,3,2,46,46,402.833,48000-2-3.wav
48000,2,4,2,46,46,409.917,48000-2-4.wav
96000,0,0,0,88,88,1116.33,96000-0-0.wav
96000,0,1,0,88,88,1114.75,96000-0-1.wav
96000,0,2,0,88,88,1112.92,96000-0-2.wav
96000,0,3,0,88,88,1103.58,96000-0-3.wav
96000,0,4,0,88,88,1118.38,96000-0-4.wav
96000,1,0,1,93,93,833.041,96000-1-0.wav
96000,1,1,1,93,93,837.083,96000-1-1.wav
96000,1,2,1,93,93,829.375,96000-1-2.wav
96000,1,3,1,93,93,829.042,96000-1-3.wav
96000,1,4,1,93,93,859.791,96000-1-4.wav
96000,2,0,2,93,93,821.792,96000-2-0.wav
96000,2,1,2,93,93,821.208,96000-2-1.wav
96000,2,2,2,93,93,883.791,96000-2-2.wav
96000,2,3,2,93,93,831.084,96000-2-3.wav
96000,2,4,2,93,93,822.875,96000-2-4.wav
