rate,tone_hz,centroid_hz,centroid_error_hz,rolloff85_hz
44100,100,749.996,649.996,750
44100,750,757.723,7.72333,750
44100,1500,1735.59,235.589,2750
44100,2500,2814.8,314.799,2750
44100,4000,4888.19,888.188,7000
44100,7000,7216.25,216.245,7000
44100,10000,11570.8,1570.84,16025
44100,15000,16002.8,1002.75,16025
48000,100,750.006,650.006,750
48000,750,757.708,7.70807,750
48000,1500,1735.43,235.426,2750
48000,2500,2816.28,316.283,2750
48000,4000,4887.09,887.088,7000
48000,7000,7287.63,287.632,7000
48000,10000,12071.9,2071.87,17000
48000,15000,16950.8,1950.84,17000
96000,100,749.995,649.995,750
96000,750,757.862,7.86237,750
96000,1500,1735.2,235.203,2750
96000,2500,2824.19,324.188,2750
96000,4000,4895.33,895.331,7000
96000,7000,8169.97,1169.97,7000
96000,10000,18235.3,8235.25,29000
96000,15000,28432.7,13432.7,29000
