poll,injected_us,budget_us,complexity,p99_us,missed
0,0,1000,255,2.25,0
1,0,1000,255,1.416,0
2,0,1000,255,1.417,0
3,0,1000,255,1.334,0
4,0,1000,255,1.375,0
5,0,1000,255,1.333,0
6,0,1000,255,1.375,0
7,0,1000,255,1.375,0
8,0,1000,255,1.375,0
9,0,1000,255,1.375,0
10,1200,1000,223,1200.04,8
11,1200,1000,191,1200.04,16
12,1200,1000,159,1200.04,24
13,1200,1000,127,1200.04,32
14,1200,1000,95,1200,40
15,1200,1000,63,1200,48
16,1200,1000,31,1200,56
17,1200,1000,0,1200,64
18,1200,1000,0,1200,72
19,1200,1000,0,1200,80
20,1200,1000,0,1200,88
21,1200,1000,0,1200,96
22,1200,1000,0,1200,104
23,1200,1000,0,1200,112
24,1200,1000,0,1200,120
25,1200,1000,0,1200,128
26,1200,1000,0,1200,136
27,1200,1000,0,1200,144
28,1200,1000,0,1200,152
29,1200,1000,0,1200,160
30,0,1000,0,0.666,160
31,0,1000,0,0.583,160
32,0,1000,0,0.584,160
33,0,1000,0,0.583,160
34,0,1000,0,0.542,160
35,0,1000,0,0.584,160
36,0,1000,0,0.584,160
37,0,1000,0,0.584,160
38,0,1000,0,0.583,160
39,0,1000,4,0.583,160
40,0,1000,4,0.584,160
41,0,1000,4,0.625,160
42,0,1000,4,0.584,160
43,0,1000,4,0.583,160
44,0,1000,4,0.584,160
45,0,1000,4,0.583,160
46,0,1000,4,0.583,160
47,0,1000,4,0.583,160
48,0,1000,4,0.583,160
49,0,1000,8,0.584,160
50,0,1000,8,0.584,160
51,0,1000,8,0.583,160
52,0,1000,8,0.584,160
53,0,1000,8,0.583,160
54,0,1000,8,0.583,160
55,0,1000,8,0.542,160
56,0,1000,8,0.584,160
57,0,1000,8,0.542,160
58,0,1000,8,0.583,160
59,0,1000,12,0.584,160
60,0,1000,12,0.583,160
61,0,1000,12,0.583,160
62,0,1000,12,0.584,160
63,0,1000,12,0.542,160
64,0,1000,12,0.583,160
65,0,1000,12,0.583,160
66,0,1000,12,0.584,160
67,0,1000,12,0.584,160
68,0,1000,12,0.583,160
69,0,1000,16,0.584,160
70,0,1000,16,0.584,160
71,0,1000,16,0.583,160
72,0,1000,16,0.584,160
73,0,1000,16,0.584,160
74,0,1000,16,0.584,160
75,0,1000,16,0.583,160
76,0,1000,16,0.584,160
77,0,1000,16,0.583,160
78,0,1000,16,0.584,160
79,0,1000,20,0.583,160
80,0,1000,20,0.583,160
81,0,1000,20,0.584,160
82,0,1000,20,0.584,160
83,0,1000,20,0.583,160
84,0,1000,20,0.584,160
85,0,1000,20,0.584,160
86,0,1000,20,0.584,160
87,0,1000,20,0.584,160
88,0,1000,20,0.584,160
89,0,1000,24,0.583,160
90,0,1000,24,0.584,160
91,0,1000,24,0.583,160
92,0,1000,24,0.584,160
93,0,1000,24,0.583,160
94,0,1000,24,0.583,160
95,0,1000,24,0.584,160
96,0,1000,24,0.584,160
97,0,1000,24,0.584,160
98,0,1000,24,0.542,160
99,0,1000,28,0.584,160
100,0,1000,28,0.584,160
101,0,1000,28,0.584,160
102,0,1000,28,0.583,160
103,0,1000,28,0.584,160
104,0,1000,28,0.584,160
105,0,1000,28,0.584,160
106,0,1000,28,0.584,160
107,0,1000,28,0.583,160
108,0,1000,28,0.583,160
109,0,1000,32,0.583,160
110,0,1000,32,0.542,160
111,0,1000,32,0.584,160
112,0,1000,32,0.584,160
113,0,1000,32,0.542,160
114,0,1000,32,0.584,160
115,0,1000,32,0.584,160
116,0,1000,32,0.584,160
117,0,1000,32,0.584,160
118,0,1000,32,0.584,160
119,0,1000,36,0.583,160
